PERSON_ID,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FI_LAST,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,ROSTERSTATUS,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_CITY,PLAYERCODE,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,NBA_FLAG,GAMES_PLAYED_FLAG,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER
1628386,Jarrett,Allen,Jarrett Allen,"Allen, Jarrett",J. Allen,1998-04-21T00:00:00,Texas,USA,Texas/USA,6-11,243,2,31,Center,Active,1610612751,Nets,BKN,nets,Brooklyn,jarrett_allen,2017,2019,N,Y,Y,2017,1,22
1628443,Kadeem,Allen,Kadeem Allen,"Allen, Kadeem",K. Allen,1993-01-15T00:00:00,Arizona,USA,ArizonaUSA/USA,6-3,200,2,0,Guard,Active,1610612738,Celtics,BOS,celtics,Boston,kadeem_allen,2017,2019,Y,Y,Y,2017,2,53
202329,Al-Farouq,Aminu,Al-Farouq Aminu,"Aminu, Al-Farouq",A. Aminu,1990-09-21T00:00:00,Wake Forest,USA,Wake Forest/USA,6-9,220,9,2,Forward,Active,1610612753,Magic,ORL,magic,Orlando,al-farouq_aminu,2010,2019,N,Y,Y,2010,1,8
1626147,Justin,Anderson,Justin Anderson,"Anderson, Justin",J. Anderson,1993-11-19T00:00:00,Virginia,USA,Virginia/USA,6-6,230,4,7,Forward,Active,1610612764,Wizards,WAS,wizards,Washington,justin_anderson,2015,2019,Y,Y,Y,2015,1,21
203937,Kyle,Anderson,Kyle Anderson,"Anderson, Kyle",K. Anderson,1993-09-20T00:00:00,UCLA,USA,UCLA/USA,6-9,230,5,1,Forward,Active,1610612763,Grizzlies,MEM,grizzlies,Memphis,kyle_anderson,2014,2019,Y,Y,Y,2014,1,30
201583,Ryan,Anderson,Ryan Anderson,"Anderson, Ryan",R. Anderson,1988-05-06T00:00:00,California,USA,California/USA,6-10,240,11,33,Forward,Active,1610612745,Rockets,HOU,rockets,Houston,ryan_anderson,2008,2019,N,Y,Y,2008,1,21
1628387,Ike,Anigbogu,Ike Anigbogu,"Anigbogu, Ike",I. Anigbogu,1998-10-16T00:00:00,California-Los Angeles,USA,UCLA/USA,,,1,,,Inactive,0,,,,,ike_anigbogu,2017,2018,Y,Y,Y,2017,2,47
203507,Giannis,Antetokounmpo,Giannis Antetokounmpo,"Antetokounmpo, Giannis",G. Antetokounmpo,1994-12-06T00:00:00, ,Greece,Greece/Greece,6-11,242,6,34,Forward,Active,1610612749,Bucks,MIL,bucks,Milwaukee,giannis_antetokounmpo,2013,2019,N,Y,Y,2013,1,15
1628961,Kostas,Antetokounmpo,Kostas Antetokounmpo,"Antetokounmpo, Kostas",K. Antetokounmpo,1997-11-20T00:00:00,University of Dayton,Greece,University of Dayton/Greece,6-10,200,1,37,Forward,Active,1610612747,Lakers,LAL,lakers,Los Angeles,kostas_antetokounmpo,2018,2019,Y,Y,Y,2018,2,60
2546,Carmelo,Anthony,Carmelo Anthony,"Anthony, Carmelo",C. Anthony,1984-05-29T00:00:00,Syracuse,USA,Syracuse/USA,,,15,,,Inactive,0,,,,,carmelo_anthony,2003,2018,N,Y,Y,2003,1,3
1628384,OG,Anunoby,OG Anunoby,"Anunoby, OG",O. Anunoby,1997-07-17T00:00:00,Indiana,United Kingdom,Indiana/United Kingdom,6-8,232,2,3,Forward,Active,1610612761,Raptors,TOR,raptors,Toronto,og_anunoby,2017,2019,N,Y,Y,2017,1,23
1627853,Ryan,Arcidiacono,Ryan Arcidiacono,"Arcidiacono, Ryan",R. Arcidiacono,1994-03-26T00:00:00,Villanova,USA,Villanova/USA,6-3,208,2,51,Guard,Active,1610612741,Bulls,CHI,bulls,Chicago,ryan_arcidiacono,2017,2019,Y,Y,Y,Undrafted,Undrafted,Undrafted
2772,Trevor,Ariza,Trevor Ariza,"Ariza, Trevor",T. Ariza,1985-06-30T00:00:00,UCLA,USA,UCLA/USA,6-8,215,15,0,Forward,Active,1610612758,Kings,SAC,kings,Sacramento,trevor_ariza,2004,2019,N,Y,Y,2004,2,43
201571,D.J.,Augustin,D.J. Augustin,"Augustin, D.J.",D. Augustin,1987-11-10T00:00:00,Texas,USA,Texas/USA,6-0,183,11,14,Guard,Active,1610612753,Magic,ORL,magic,Orlando,d.j._augustin,2008,2019,N,Y,Y,2008,1,9
1629028,Deandre,Ayton,Deandre Ayton,"Ayton, Deandre",D. Ayton,1998-07-23T00:00:00,Arizona,Bahamas,University of Arizona/Bahamas,7-1,250,1,22,Center,Active,1610612756,Suns,PHX,suns,Phoenix,deandre_ayton,2018,2019,N,Y,Y,2018,1,1
1628407,Dwayne,Bacon,Dwayne Bacon,"Bacon, Dwayne",D. Bacon,1995-08-30T00:00:00,Florida State,USA,Florida State/USA,6-7,221,2,7,Guard-Forward,Active,1610612766,Hornets,CHA,hornets,Charlotte,dwayne_bacon,2017,2019,Y,Y,Y,2017,2,40
1628963,Marvin,Bagley III,Marvin Bagley III,"Bagley III, Marvin",M. Bagley III,1999-03-14T00:00:00,Duke,USA,Duke University/USA,6-11,240,1,35,Forward,Active,1610612758,Kings,SAC,kings,Sacramento,marvin_bagley_iii,2018,2019,N,Y,Y,2018,1,2
1627758,Ron,Baker,Ron Baker,"Baker, Ron",R. Baker,1993-03-30T00:00:00,Wichita State,USA,Wichita State/USA,,,2,,,Inactive,0,,,,,ron_baker,2016,2018,Y,Y,Y,Undrafted,Undrafted,Undrafted
1627735,Wade,Baldwin IV,Wade Baldwin IV,"Baldwin IV, Wade",W. Baldwin IV,1996-03-29T00:00:00,Vanderbilt,USA,Vanderbilt/USA,,,2,,,Inactive,0,,,,,wade_baldwin iv,2016,2018,Y,Y,Y,2016,1,17
1628366,Lonzo,Ball,Lonzo Ball,"Ball, Lonzo",L. Ball,1997-10-27T00:00:00,UCLA,USA,UCLA/USA,6-6,190,2,2,Guard,Active,1610612740,Pelicans,NOP,pelicans,New Orleans,lonzo_ball,2017,2019,N,Y,Y,2017,1,2
1628964,Mo,Bamba,Mo Bamba,"Bamba, Mo",M. Bamba,1998-05-12T00:00:00,University of Texas at Austin,USA,University of Texas at Austin/USA,7-1,241,1,5,Center,Active,1610612753,Magic,ORL,magic,Orlando,mohamed_bamba,2018,2019,N,Y,Y,2018,1,6
200826,J.J.,Barea,J.J. Barea,"Barea, J.J.",J. Barea,1984-06-26T00:00:00,Northeastern,Puerto Rico,Northeastern/Puerto Rico,6-0,185,13,5,Guard,Active,1610612742,Mavericks,DAL,mavericks,Dallas,j.j._barea,2006,2019,Y,Y,Y,Undrafted,Undrafted,Undrafted
203084,Harrison,Barnes,Harrison Barnes,"Barnes, Harrison",H. Barnes,1992-05-30T00:00:00,North Carolina,USA,North Carolina/USA,6-8,225,7,40,Forward,Active,1610612758,Kings,SAC,kings,Sacramento,harrison_barnes,2012,2019,N,Y,Y,2012,1,7
203115,Will,Barton,Will Barton,"Barton, Will",W. Barton,1991-01-06T00:00:00,Memphis,USA,Memphis/USA,6-6,190,7,5,Guard,Active,1610612743,Nuggets,DEN,nuggets,Denver,will_barton,2012,2019,Y,Y,Y,2012,2,40
1628966,Keita,Bates-Diop,Keita Bates-Diop,"Bates-Diop, Keita",K. Bates-Diop,1996-01-23T00:00:00,Ohio State,USA,Ohio State University/USA,6-9,229,1,31,Forward,Active,1610612750,Timberwolves,MIN,timberwolves,Minnesota,keita_bates-diop,2018,2019,Y,Y,Y,2018,2,48
201587,Nicolas,Batum,Nicolas Batum,"Batum, Nicolas",N. Batum,1988-12-14T00:00:00, ,France,Le Mans/France,6-8,200,11,5,Guard-Forward,Active,1610612766,Hornets,CHA,hornets,Charlotte,nicolas_batum,2008,2019,N,Y,Y,2008,1,25
201573,Jerryd,Bayless,Jerryd Bayless,"Bayless, Jerryd",J. Bayless,1988-08-20T00:00:00,Arizona,USA,Arizona/USA,6-3,200,11,8,Guard,Active,1610612750,Timberwolves,MIN,timberwolves,Minnesota,jerryd_bayless,2008,2018,N,Y,Y,2008,1,11
203382,Aron,Baynes,Aron Baynes,"Baynes, Aron",A. Baynes,1986-12-09T00:00:00,Washington State,Australia,Washington State/Australia,6-10,260,7,46,Center,Active,1610612756,Suns,PHX,suns,Phoenix,aron_baynes,2012,2019,Y,Y,Y,Undrafted,Undrafted,Undrafted
203145,Kent,Bazemore,Kent Bazemore,"Bazemore, Kent",K. Bazemore,1989-07-01T00:00:00,Old Dominion,USA,Old Dominion/USA,6-5,200,7,24,Guard-Forward,Active,1610612757,Trail Blazers,POR,blazers,Portland,kent_bazemore,2012,2019,Y,Y,Y,Undrafted,Undrafted,Undrafted
203078,Bradley,Beal,Bradley Beal,"Beal, Bradley",B. Beal,1993-06-28T00:00:00,Florida,USA,Florida/USA,6-5,207,7,3,Guard,Active,1610612764,Wizards,WAS,wizards,Washington,bradley_beal,2012,2019,N,Y,Y,2012,1,3
1627736,Malik,Beasley,Malik Beasley,"Beasley, Malik",M. Beasley,1996-11-26T00:00:00,Florida State,USA,Florida State/USA,6-5,195,3,25,Guard,Active,1610612743,Nuggets,DEN,nuggets,Denver,malik_beasley,2016,2019,Y,Y,Y,2016,1,19
201563,Michael,Beasley,Michael Beasley,"Beasley, Michael",M. Beasley,1989-01-09T00:00:00,Kansas State,USA,Kansas State/USA,,,10,,,Inactive,0,,,,,michael_beasley,2008,2018,N,Y,Y,2008,1,2
201158,Marco,Belinelli,Marco Belinelli,"Belinelli, Marco",M. Belinelli,1986-03-25T00:00:00, ,Italy,Fortitudo Bologna/Italy,6-5,210,12,18,Guard-Forward,Active,1610612759,Spurs,SAS,spurs,San Antonio,marco_belinelli,2007,2019,N,Y,Y,2007,1,18
1628395,Jordan,Bell,Jordan Bell,"Bell, Jordan",J. Bell,1995-01-07T00:00:00,Oregon,USA,Oregon/USA,6-9,224,2,7,Forward,Active,1610612750,Timberwolves,MIN,timberwolves,Minnesota,jordan_bell,2017,2019,Y,Y,Y,2017,2,38
1627761,DeAndre',Bembry,DeAndre' Bembry,"Bembry, DeAndre'",D. Bembry,1994-07-04T00:00:00,"St. Joseph's, PA",USA,St. Joseph's (PA)/USA,6-6,210,3,95,Guard-Forward,Active,1610612737,Hawks,ATL,hawks,Atlanta,deandre'_bembry,2016,2019,Y,Y,Y,2016,1,21
1627733,Dragan,Bender,Dragan Bender,"Bender, Dragan",D. Bender,1997-11-17T00:00:00, ,Croatia,Croatia/Croatia,7-1,225,3,17,Forward,Active,1610612749,Bucks,MIL,bucks,Milwaukee,dragan_bender,2016,2019,N,Y,Y,2016,1,4
1629541,Dairis,Bertans,Dairis Bertans,"Bertans, Dairis",D. Bertans,1989-09-09T00:00:00, ,Latvia,Latvia/Latvia,6-4,200,1,9,Guard,Active,1610612740,Pelicans,NOP,pelicans,New Orleans,tmp_dairis_bertans,2018,2018,N,Y,Y,Undrafted,Undrafted,Undrafted
202722,Davis,Bertans,Davis Bertans,"Bertans, Davis",D. Bertans,1992-11-12T00:00:00, ,Latvia, Latvia/Latvia,6-10,225,3,42,Forward,Active,1610612764,Wizards,WAS,wizards,Washington,davis_bertans,2016,2019,Y,Y,Y,2011,2,42
201976,Patrick,Beverley,Patrick Beverley,"Beverley, Patrick",P. Beverley,1988-07-12T00:00:00,Arkansas,USA,Arkansas/USA,6-1,185,7,21,Guard,Active,1610612746,Clippers,LAC,clippers,LA,patrick_beverley,2012,2019,Y,Y,Y,2009,2,42
203920,Khem,Birch,Khem Birch,"Birch, Khem",K. Birch,1992-09-28T00:00:00,UNLV,Canada,Nevada-Las Vegas/Canada,6-9,233,2,24,Center,Active,1610612753,Magic,ORL,magic,Orlando,khem_birch,2017,2019,Y,Y,Y,Undrafted,Undrafted,Undrafted
202687,Bismack,Biyombo,Bismack Biyombo,"Biyombo, Bismack",B. Biyombo,1992-08-28T00:00:00, ,Democratic Republic of the Congo,Baloncesto Fuenlabrada/Democratic Republic of Cong,6-9,255,8,8,Center,Active,1610612766,Hornets,CHA,hornets,Charlotte,bismack_biyombo,2011,2019,N,Y,Y,2011,1,7
202357,Nemanja,Bjelica,Nemanja Bjelica,"Bjelica, Nemanja",N. Bjelica,1988-05-09T00:00:00, ,Serbia,Fenerbahce Ulker/Serbia,6-10,235,4,88,Forward,Active,1610612758,Kings,SAC,kings,Sacramento,nemanja_bjelica,2015,2019,N,Y,Y,2010,2,35
1628469,Antonio,Blakeney,Antonio Blakeney,"Blakeney, Antonio",A. Blakeney,1996-10-04T00:00:00,Louisiana State,USA,Louisiana State/USA,6-4,192,2,9,Guard,Active,1610612741,Bulls,CHI,bulls,Chicago,antonio_blakeney,2017,2018,Y,Y,Y,Undrafted,Undrafted,Undrafted
202339,Eric,Bledsoe,Eric Bledsoe,"Bledsoe, Eric",E. Bledsoe,1989-12-09T00:00:00,Kentucky,USA,Kentucky/USA,6-1,205,9,6,Guard,Active,1610612749,Bucks,MIL,bucks,Milwaukee,eric_bledsoe,2010,2019,Y,Y,Y,2010,1,18
1628417,Jaron,Blossomgame,Jaron Blossomgame,"Blossomgame, Jaron",J. Blossomgame,1993-09-16T00:00:00,Clemson,USA,Clemson/USA,6-7,220,1,7,Forward,Active,1610612745,Rockets,HOU,rockets,Houston,jaron_blossomgame,2018,2019,Y,Y,Y,2017,2,59
1629129,Trevon,Bluiett,Trevon Bluiett,"Bluiett, Trevon",T. Bluiett,1994-11-04T00:00:00,Xavier,USA,Xavier/USA,6-6,198,1,5,Guard-Forward,Active,1610612740,Pelicans,NOP,pelicans,New Orleans,trevon_bluiett,2018,2018,Y,N,Y,Undrafted,Undrafted,Undrafted
203992,Bogdan,Bogdanovic,Bogdan Bogdanovic,"Bogdanovic, Bogdan",B. Bogdanovic,1992-08-18T00:00:00, ,Serbia, Serbia/Serbia,6-6,220,2,8,Guard,Active,1610612758,Kings,SAC,kings,Sacramento,bogdan_bogdanovic,2017,2019,N,Y,Y,2014,1,27
202711,Bojan,Bogdanovic,Bojan Bogdanovic,"Bogdanovic, Bojan",B. Bogdanovic,1989-04-18T00:00:00, ,Croatia,Croatia/Croatia,6-8,216,5,44,Forward,Active,1610612762,Jazz,UTA,jazz,Utah,bojan_bogdanovic,2014,2019,N,Y,Y,2011,2,31
101106,Andrew,Bogut,Andrew Bogut,"Bogut, Andrew",A. Bogut,1984-11-28T00:00:00,Utah,Australia,Utah/Australia,7-0,260,14,12,Center,Active,1610612749,Bucks,MIL,bucks,Milwaukee,andrew_bogut,2005,2018,N,Y,Y,2005,1,1
1628413,Jonah,Bolden,Jonah Bolden,"Bolden, Jonah",J. Bolden,1996-01-02T00:00:00, ,Australia,Australia/Australia,6-10,220,1,43,Forward,Active,1610612755,76ers,PHI,sixers,Philadelphia,jonah_bolden,2018,2019,Y,Y,Y,2017,2,36
1629067,Isaac,Bonga,Isaac Bonga,"Bonga, Isaac",I. Bonga,1999-11-08T00:00:00, ,Germany,Germany/Germany,6-8,180,1,17,Guard,Active,1610612764,Wizards,WAS,wizards,Washington,isaac_bonga,2018,2019,Y,Y,Y,2018,2,39
1626164,Devin,Booker,Devin Booker,"Booker, Devin",D. Booker,1996-10-30T00:00:00,Kentucky,USA,Kentucky/USA,6-6,210,4,1,Guard,Active,1610612756,Suns,PHX,suns,Phoenix,devin_booker,2015,2019,N,Y,Y,2015,1,13
1628449,Chris,Boucher,Chris Boucher,"Boucher, Chris",C. Boucher,1993-01-11T00:00:00,Oregon,Canada,Oregon/Canada,6-10,200,2,25,Forward,Active,1610612761,Raptors,TOR,raptors,Toronto,chris_boucher,2017,2019,Y,Y,Y,Undrafted,Undrafted,Undrafted
202340,Avery,Bradley,Avery Bradley,"Bradley, Avery",A. Bradley,1990-11-26T00:00:00,Texas,USA,Texas/USA,6-2,180,9,11,Guard,Active,1610612747,Lakers,LAL,lakers,Los Angeles,avery_bradley,2010,2019,Y,Y,Y,2010,1,19
1628396,Tony,Bradley,Tony Bradley,"Bradley, Tony",T. Bradley,1998-01-08T00:00:00,North Carolina,USA,North Carolina/USA,6-10,248,2,13,Center,Active,1610612762,Jazz,UTA,jazz,Utah,tony_bradley,2017,2019,Y,Y,Y,2017,1,28
201147,Corey,Brewer,Corey Brewer,"Brewer, Corey",C. Brewer,1986-03-05T00:00:00,Florida,USA,Florida/USA,6-9,186,12,33,Guard-Forward,Active,1610612750,Timberwolves,MIN,timberwolves,Minnesota,corey_brewer,2007,2018,N,Y,Y,2007,1,7
1628969,Mikal,Bridges,Mikal Bridges,"Bridges, Mikal",M. Bridges,1996-08-30T00:00:00,Villanova,USA,Villanova University/USA,6-7,210,1,25,Forward,Active,1610612756,Suns,PHX,suns,Phoenix,mikal_bridges,2018,2019,N,Y,Y,2018,1,10
1628970,Miles,Bridges,Miles Bridges,"Bridges, Miles",M. Bridges,1998-03-21T00:00:00,Michigan State,USA,Michigan State University/USA,6-7,225,1,0,Forward,Active,1610612766,Hornets,CHA,hornets,Charlotte,miles_bridges,2018,2019,N,Y,Y,2018,1,12
1628515,Isaiah,Briscoe,Isaiah Briscoe,"Briscoe, Isaiah",I. Briscoe,1996-04-13T00:00:00,,USA, USA/USA,,,0,,,Inactive,0,,,,,isaiah_briscoe,2018,2018,Y,Y,Y,Undrafted,Undrafted,Undrafted
1629151,Ryan,Broekhoff,Ryan Broekhoff,"Broekhoff, Ryan",R. Broekhoff,1990-08-23T00:00:00,Valparaiso,Australia,Australia/Australia,6-7,215,1,45,Guard-Forward,Active,1610612742,Mavericks,DAL,mavericks,Dallas,ryan_broekhoff,2018,2019,N,Y,Y,Undrafted,Undrafted,Undrafted
1627763,Malcolm,Brogdon,Malcolm Brogdon,"Brogdon, Malcolm",M. Brogdon,1992-12-11T00:00:00,Virginia,USA,Virginia/USA,6-5,229,3,7,Guard,Active,1610612754,Pacers,IND,pacers,Indiana,malcolm_brogdon,2016,2019,N,Y,Y,2016,2,36
1628415,Dillon,Brooks,Dillon Brooks,"Brooks, Dillon",D. Brooks,1996-01-22T00:00:00,Oregon,Canada,Oregon/Canada,6-6,220,2,24,Guard-Forward,Active,1610612763,Grizzlies,MEM,grizzlies,Memphis,dillon_brooks,2017,2019,N,Y,Y,2017,2,45
202705,MarShon,Brooks,MarShon Brooks,"Brooks, MarShon",M. Brooks,1989-01-26T00:00:00,Providence,USA,Providence/USA,,,4,,,Inactive,0,,,,,marshon_brooks,2011,2018,Y,Y,Y,2011,1,25
1628971,Bruce,Brown,Bruce Brown,"Brown, Bruce",B. Brown,1996-08-15T00:00:00,Miami,USA,University of Miami/USA,6-5,202,1,6,Guard,Active,1610612765,Pistons,DET,pistons,Detroit,tmp_bruce_brown,2018,2019,Y,Y,Y,2018,2,42
1627759,Jaylen,Brown,Jaylen Brown,"Brown, Jaylen",J. Brown,1996-10-24T00:00:00,California,USA,California/USA,6-7,220,3,7,Guard,Active,1610612738,Celtics,BOS,celtics,Boston,jaylen_brown,2016,2019,N,Y,Y,2016,1,3
203485,Lorenzo,Brown,Lorenzo Brown,"Brown, Lorenzo",L. Brown,1990-08-26T00:00:00,North Carolina State,USA,North Carolina State/USA,,,4,,,Inactive,0,,,,,lorenzo_brown,2013,2018,Y,Y,Y,2013,2,52
1628425,Sterling,Brown,Sterling Brown,"Brown, Sterling",S. Brown,1995-02-10T00:00:00,Southern Methodist,USA,Southern Methodist/USA,6-6,232,2,23,Guard,Active,1610612749,Bucks,MIL,bucks,Milwaukee,sterling_brown,2017,2019,Y,Y,Y,2017,2,46
1628972,Troy,Brown Jr.,Troy Brown Jr.,"Brown Jr., Troy",T. Brown Jr.,1999-07-28T00:00:00,Oregon,USA,University of Oregon/USA,6-7,215,1,6,Forward,Active,1610612764,Wizards,WAS,wizards,Washington,troy_brown_jr,2018,2019,Y,Y,Y,2018,1,15
1628973,Jalen,Brunson,Jalen Brunson,"Brunson, Jalen",J. Brunson,1996-08-31T00:00:00,Villanova,USA,Villanova University/USA,6-3,190,1,13,Guard,Active,1610612742,Mavericks,DAL,mavericks,Dallas,jalen_brunson,2018,2019,N,Y,Y,2018,2,33
1628418,Thomas,Bryant,Thomas Bryant,"Bryant, Thomas",T. Bryant,1997-07-31T00:00:00,Indiana,USA,Indiana/USA,6-10,248,2,13,Center,Active,1610612764,Wizards,WAS,wizards,Washington,thomas_bryant,2017,2019,Y,Y,Y,2017,2,42
203493,Reggie,Bullock,Reggie Bullock,"Bullock, Reggie",R. Bullock,1991-03-16T00:00:00,North Carolina,USA,North Carolina/USA,6-7,205,6,25,Guard-Forward,Active,1610612752,Knicks,NYK,knicks,New York,reggie_bullock,2013,2019,Y,Y,Y,2013,1,25
203504,Trey,Burke,Trey Burke,"Burke, Trey",T. Burke,1992-11-12T00:00:00,Michigan,USA,Michigan/USA,6-1,175,6,23,Guard,Active,1610612755,76ers,PHI,sixers,Philadelphia,trey_burke,2013,2019,Y,Y,Y,2013,1,9
202692,Alec,Burks,Alec Burks,"Burks, Alec",A. Burks,1991-07-20T00:00:00,Colorado,USA,Colorado/USA,6-6,214,8,8,Guard,Active,1610612744,Warriors,GSW,warriors,Golden State,alec_burks,2011,2019,Y,Y,Y,2011,1,12
1629126,Deonte,Burton,Deonte Burton,"Burton, Deonte",D. Burton,1994-01-31T00:00:00,Iowa State,USA,Iowa State/USA,6-5,240,1,30,Guard,Active,1610612760,Thunder,OKC,thunder,Oklahoma City,deonte_burton,2018,2019,Y,Y,Y,Undrafted,Undrafted,Undrafted
202710,Jimmy,Butler,Jimmy Butler,"Butler, Jimmy",J. Butler,1989-09-14T00:00:00,Marquette,USA,Marquette/USA,6-7,230,8,22,Forward,Active,1610612748,Heat,MIA,heat,Miami,jimmy_butler,2011,2019,N,Y,Y,2011,1,30
203998,Bruno,Caboclo,Bruno Caboclo,"Caboclo, Bruno",B. Caboclo,1995-09-21T00:00:00,Brazil,Brazil,Brazil/Brazil,6-9,218,5,5,Forward,Active,1610612761,Raptors,TOR,raptors,Toronto,bruno_caboclo,2014,2019,Y,Y,Y,2014,1,20
101181,Jose,Calderon,Jose Calderon,"Calderon, Jose",J. Calderon,1981-09-28T00:00:00, ,Spain,Tau Ceramica/Spain,6-3,200,14,81,Guard,Active,1610612765,Pistons,DET,pistons,Detroit,jose_calderon,2005,2018,N,Y,Y,Undrafted,Undrafted,Undrafted
203484,Kentavious,Caldwell-Pope,Kentavious Caldwell-Pope,"Caldwell-Pope, Kentavious",K. Caldwell-Pope,1993-02-18T00:00:00,Georgia,USA,Georgia/USA,6-5,205,6,1,Guard,Active,1610612747,Lakers,LAL,lakers,Los Angeles,kentavious_caldwell-pope,2013,2019,N,Y,Y,2013,1,8
203477,Isaiah,Canaan,Isaiah Canaan,"Canaan, Isaiah",I. Canaan,1991-05-21T00:00:00,Murray State,USA,Murray State/USA,,,5,,,Inactive,0,,,,,isaiah_canaan,2013,2018,Y,Y,Y,2013,2,34
203991,Clint,Capela,Clint Capela,"Capela, Clint",C. Capela,1994-05-18T00:00:00,Switzerland,Switzerland,Switzerland/Switzerland,6-10,240,5,15,Center,Active,1610612745,Rockets,HOU,rockets,Houston,clint_capela,2014,2019,Y,Y,Y,2014,1,25
201960,DeMarre,Carroll,DeMarre Carroll,"Carroll, DeMarre",D. Carroll,1986-07-27T00:00:00,Missouri,USA,Missouri/USA,6-8,215,10,77,Forward,Active,1610612759,Spurs,SAS,spurs,San Antonio,demarre_carroll,2009,2019,Y,Y,Y,2009,1,27
1628975,Jevon,Carter,Jevon Carter,"Carter, Jevon",J. Carter,1995-09-14T00:00:00,West Virginia,USA,West Virginia University/USA,6-2,195,1,4,Guard,Active,1610612756,Suns,PHX,suns,Phoenix,jevon_carter,2018,2019,Y,Y,Y,2018,2,32
1713,Vince,Carter,Vince Carter,"Carter, Vince",V. Carter,1977-01-26T00:00:00,North Carolina,USA,North Carolina/USA,6-6,220,21,15,Guard-Forward,Active,1610612737,Hawks,ATL,hawks,Atlanta,vince_carter,1998,2019,N,Y,Y,1998,1,5
